timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712174139091,60,Create user,200,OK,HTTP managers 1-23,text,true,,264,217,42,42,http://localhost:3001/character,60,0,0
1712174139094,57,Create user,200,OK,HTTP managers 1-10,text,true,,264,217,42,42,http://localhost:3001/character,57,0,0
1712174139088,66,Create user,200,OK,HTTP managers 1-18,text,true,,264,217,43,43,http://localhost:3001/character,66,0,0
1712174139088,68,Create user,200,OK,HTTP managers 1-26,text,true,,264,217,43,43,http://localhost:3001/character,68,0,0
1712174139015,142,Get all characters,200,OK,HTTP managers 1-28,text,true,,1078,154,43,43,http://localhost:3001/characters,142,0,3
1712174139117,42,Delete user,200,OK,HTTP managers 1-2,text,true,,249,178,43,43,http://localhost:3001/character/id,42,0,0
1712174139119,42,Delete user,200,OK,HTTP managers 1-12,text,true,,249,178,43,43,http://localhost:3001/character/id,41,0,0
1712174139120,42,Delete user,200,OK,HTTP managers 1-7,text,true,,249,178,41,41,http://localhost:3001/character/id,42,0,0
1712174139122,42,Delete user,200,OK,HTTP managers 1-9,text,true,,249,178,41,41,http://localhost:3001/character/id,42,0,0
1712174139124,42,Delete user,200,OK,HTTP managers 1-1,text,true,,249,178,40,40,http://localhost:3001/character/id,42,0,0
1712174139126,42,Delete user,200,OK,HTTP managers 1-27,text,true,,249,178,39,39,http://localhost:3001/character/id,42,0,0
1712174139127,42,Delete user,200,OK,HTTP managers 1-13,text,true,,249,178,38,38,http://localhost:3001/character/id,42,0,0
1712174139129,42,Change user,200,OK,HTTP managers 1-6,text,true,,264,216,37,37,http://localhost:3001/character/1,42,0,0
1712174139130,43,Change user,200,OK,HTTP managers 1-15,text,true,,264,216,38,38,http://localhost:3001/character/1,43,0,0
1712174139131,43,Change user,200,OK,HTTP managers 1-25,text,true,,264,216,38,38,http://localhost:3001/character/1,43,0,0
1712174139132,44,Change user,200,OK,HTTP managers 1-22,text,true,,264,216,38,38,http://localhost:3001/character/1,44,0,0
1712174139133,44,Change user,200,OK,HTTP managers 1-5,text,true,,264,216,38,38,http://localhost:3001/character/1,44,0,0
1712174139134,44,Change user,200,OK,HTTP managers 1-21,text,true,,264,216,38,38,http://localhost:3001/character/1,44,0,0
1712174139135,45,Change user,200,OK,HTTP managers 1-8,text,true,,264,216,38,38,http://localhost:3001/character/1,45,0,0
1712174139137,44,Change user,200,OK,HTTP managers 1-20,text,true,,264,216,38,38,http://localhost:3001/character/1,44,0,0
1712174139140,42,Change user,200,OK,HTTP managers 1-11,text,true,,264,216,38,38,http://localhost:3001/character/1,42,0,0
1712174139140,43,Create user,200,OK,HTTP managers 1-4,text,true,,264,217,39,39,http://localhost:3001/character,43,0,0
1712174139142,43,Change user,200,OK,HTTP managers 1-19,text,true,,264,216,39,39,http://localhost:3001/character/1,43,0,0
1712174139146,42,Change user,200,OK,HTTP managers 1-17,text,true,,264,216,39,39,http://localhost:3001/character/1,42,0,0
1712174139148,41,Change user,200,OK,HTTP managers 1-14,text,true,,264,216,39,39,http://localhost:3001/character/1,41,0,0
1712174139152,38,Change user,200,OK,HTTP managers 1-23,text,true,,264,216,39,39,http://localhost:3001/character/1,38,0,0
1712174139152,40,Change user,200,OK,HTTP managers 1-10,text,true,,264,216,39,39,http://localhost:3001/character/1,40,0,0
1712174139113,80,Create user,200,OK,HTTP managers 1-3,text,true,,264,217,40,40,http://localhost:3001/character,80,0,0
1712174139113,82,Change user,200,OK,HTTP managers 1-16,text,true,,264,216,40,40,http://localhost:3001/character/1,82,0,0
1712174139115,81,Get character id,200,OK,HTTP managers 1-24,text,true,,192,156,40,40,http://localhost:3001/character/id,81,0,0
1712174139021,177,Get all characters,200,OK,HTTP managers 1-29,text,true,,928,154,40,40,http://localhost:3001/characters,177,0,10
1712174139172,27,Delete user,200,OK,HTTP managers 1-6,text,true,,249,178,40,40,http://localhost:3001/character/id,27,0,0
1712174139173,28,Delete user,200,OK,HTTP managers 1-15,text,true,,249,178,39,39,http://localhost:3001/character/id,28,0,0
1712174139175,28,Delete user,200,OK,HTTP managers 1-25,text,true,,249,178,39,39,http://localhost:3001/character/id,28,0,0
1712174139176,33,Delete user,200,OK,HTTP managers 1-22,text,true,,249,178,38,38,http://localhost:3001/character/id,32,0,0
1712174139177,32,Delete user,200,OK,HTTP managers 1-5,text,true,,249,178,38,38,http://localhost:3001/character/id,32,0,0
1712174139179,32,Delete user,200,OK,HTTP managers 1-21,text,true,,249,178,36,36,http://localhost:3001/character/id,32,0,0
1712174139180,32,Delete user,200,OK,HTTP managers 1-8,text,true,,249,178,37,37,http://localhost:3001/character/id,32,0,0
1712174139182,32,Delete user,200,OK,HTTP managers 1-20,text,true,,249,178,35,35,http://localhost:3001/character/id,32,0,0
1712174139183,36,Delete user,200,OK,HTTP managers 1-11,text,true,,249,178,34,34,http://localhost:3001/character/id,36,0,0
1712174139184,36,Change user,200,OK,HTTP managers 1-4,text,true,,264,216,33,33,http://localhost:3001/character/1,36,0,0
1712174139186,38,Delete user,200,OK,HTTP managers 1-19,text,true,,249,178,34,34,http://localhost:3001/character/id,38,0,0
1712174139188,37,Delete user,200,OK,HTTP managers 1-17,text,true,,249,178,33,33,http://localhost:3001/character/id,37,0,0
1712174139190,37,Delete user,200,OK,HTTP managers 1-14,text,true,,249,178,32,32,http://localhost:3001/character/id,37,0,0
1712174139192,36,Delete user,200,OK,HTTP managers 1-23,text,true,,249,178,32,32,http://localhost:3001/character/id,36,0,0
1712174139155,75,Change user,200,OK,HTTP managers 1-18,text,true,,264,216,30,30,http://localhost:3001/character/1,75,0,0
1712174139157,74,Change user,200,OK,HTTP managers 1-26,text,true,,264,216,30,30,http://localhost:3001/character/1,74,0,0
1712174139158,75,Get character id,200,OK,HTTP managers 1-28,text,true,,192,156,31,31,http://localhost:3001/character/id,75,0,0
1712174139032,206,Get all characters,200,OK,HTTP managers 1-30,text,true,,538,154,31,31,http://localhost:3001/characters,206,0,3
1712174139221,21,Delete user,200,OK,HTTP managers 1-4,text,true,,249,178,32,32,http://localhost:3001/character/id,21,0,0
1712174139230,13,Delete user,200,OK,HTTP managers 1-18,text,true,,249,178,32,32,http://localhost:3001/character/id,13,0,0
1712174139232,13,Delete user,200,OK,HTTP managers 1-26,text,true,,249,178,31,31,http://localhost:3001/character/id,13,0,0
1712174139234,12,Create user,200,OK,HTTP managers 1-28,text,true,,264,217,29,29,http://localhost:3001/character,12,0,0
1712174139239,8,Get character id,200,OK,HTTP managers 1-30,text,true,,192,156,29,29,http://localhost:3001/character/id,8,0,0
1712174139194,55,Change user,200,OK,HTTP managers 1-3,text,true,,264,216,29,29,http://localhost:3001/character/1,55,0,0
1712174139193,58,Delete user,200,OK,HTTP managers 1-10,text,true,,249,178,29,29,http://localhost:3001/character/id,58,0,0
1712174139196,56,Delete user,200,OK,HTTP managers 1-16,text,true,,249,178,28,28,http://localhost:3001/character/id,56,0,0
1712174139196,58,Create user,200,OK,HTTP managers 1-24,text,true,,264,217,28,28,http://localhost:3001/character,58,0,0
1712174139198,57,Get character id,200,OK,HTTP managers 1-29,text,true,,192,156,28,28,http://localhost:3001/character/id,57,0,0
1712174139034,226,Get all characters,200,OK,HTTP managers 1-31,text,true,,447,154,28,28,http://localhost:3001/characters,225,0,4
1712174139247,16,Change user,200,OK,HTTP managers 1-28,text,true,,264,216,28,28,http://localhost:3001/character/1,16,0,0
1712174139248,16,Create user,200,OK,HTTP managers 1-30,text,true,,264,217,29,29,http://localhost:3001/character,16,0,0
1712174139250,16,Delete user,200,OK,HTTP managers 1-3,text,true,,249,178,29,29,http://localhost:3001/character/id,16,0,0
1712174139254,16,Change user,200,OK,HTTP managers 1-24,text,true,,264,216,28,28,http://localhost:3001/character/1,16,0,0
1712174139255,16,Create user,200,OK,HTTP managers 1-29,text,true,,264,217,28,28,http://localhost:3001/character,15,0,0
1712174139052,219,Get all characters,200,OK,HTTP managers 1-32,text,true,,477,154,28,28,http://localhost:3001/characters,219,0,2
1712174139264,10,Delete user,200,OK,HTTP managers 1-28,text,true,,249,178,28,28,http://localhost:3001/character/id,10,0,0
1712174139265,10,Change user,200,OK,HTTP managers 1-30,text,true,,264,216,29,29,http://localhost:3001/character/1,10,0,0
1712174139270,8,Delete user,200,OK,HTTP managers 1-24,text,true,,249,178,28,28,http://localhost:3001/character/id,7,0,0
1712174139271,10,Change user,200,OK,HTTP managers 1-29,text,true,,264,216,27,27,http://localhost:3001/character/1,10,0,0
1712174139272,10,Get character id,200,OK,HTTP managers 1-32,text,true,,192,156,27,27,http://localhost:3001/character/id,10,0,0
